series,date,gdp,gni,gdp_capita,gni_capita
abs,1947-01-01,3531.0,3511.0,719.0,715.0
abs,1948-01-01,3619.0,3580.0,726.0,718.0
abs,1949-01-01,3550.0,3400.0,699.0,669.0
