date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,ep_ratio,u_rate
2010-01-01,12367.9,11931.2,436.7,6927.5,64.1,61.8,3.5
2010-02-01,12059.8,11632.3,427.4,7225.1,62.5,60.3,3.5
2010-03-01,12324.2,11895.9,428.3,6993.0,63.8,61.6,3.5
