date,state,parlimen,dun,expenditure
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3333
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3480
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3676
