date,state,district,sex,abs,rate
2020-01-01,Johor,Batu Pahat,both,3021.0,6.099333737129013
2020-01-01,Johor,Batu Pahat,female,1343.0,5.7466837826273
2020-01-01,Johor,Batu Pahat,male,1678.0,6.414373088685014
