date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2019-01-01,,,,113357,114173,139634,35804,,,,,,
2019-01-02,,,,182715,169316,274224,31859,,,,,,
2019-01-03,,,,187904,175304,286469,31893,,,,,,
