date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,ep_ratio,u_rate
1982-01-01,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4
1983-01-01,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8
1984-01-01,5862.5,5566.7,295.8,3119.6,65.3,62.0,5.0
